date,amount,category,description
12-03-2024,500.00,Income,Salary
28-06-2024,20.00,Expense,Uber ride to work
05-09-2024,100.00,Expense,Dinner with friends
19-11-2024,30.50,Expense,Movie tickets
08-04-2024,15.75,Expense,Electricity bill
14-10-2024,45.00,Expense,Fresh produce and dairy
30-01-2024,10.00,Expense,Bus fare
25-07-2024,80.00,Expense,New shoes
17-05-2024,200.00,Expense,Hotel booking for vacation
03-08-2024,35.20,Expense,Lunch with colleagues
21-02-2024,60.00,Expense,Concert tickets
09-06-2024,25.50,Expense,Internet bill
11-12-2024,70.00,Expense,Household essentials
23-09-2024,15.00,Expense,Taxi ride
06-03-2024,120.00,Expense,Clothes shopping
13-05-2024,150.00,Expense,Flight ticket
02-10-2024,40.00,Expense,Dinner at a fancy restaurant
29-08-2024,20.00,Expense,Streaming subscription
18-07-2024,10.50,Expense,Water bill
22-11-2024,55.00,Expense,Bulk groceries
07-01-2024,8.00,Expense,Metro fare
15-04-2024,90.00,Expense,Electronics purchase
10-09-2024,300.00,Expense,Car rental
24-06-2024,25.75,Expense,Coffee and snacks
26-02-2024,15.00,Expense,Video game purchase
20-05-2024,18.50,Expense,Gas bill
04-08-2024,40.00,Expense,Specialty food items
01-07-2024,12.00,Expense,Bike rental
16-12-2024,75.00,Expense,Home decor
27-03-2024,250.00,Expense,Travel insurance
12-07-2024,30000.0,Income,Salary
12-07-2024,6000.0,Income,Side gig
12-07-2024,420.0,Expense,lost
